index_id,date_anio,date,day_week,close,open,high,low,adj_close,volume,month_01,month_02,month_03,month_04,month_05,month_06,month_07,month_08,month_09,month_10,month_11,month_12
00001,1930,1930-01-02,3,21.18,21.18,21.18,21.18,21.18,0,1,0,0,0,0,0,0,0,0,0,0,0
00002,1930,1930-01-03,4,21.23,21.23,21.23,21.23,21.23,0,1,0,0,0,0,0,0,0,0,0,0,0
00003,1930,1930-01-06,0,21.5,21.5,21.5,21.5,21.5,0,1,0,0,0,0,0,0,0,0,0,0,0
00004,1930,1930-01-07,1,21.31,21.31,21.31,21.31,21.31,0,1,0,0,0,0,0,0,0,0,0,0,0
00005,1930,1930-01-08,2,21.29,21.29,21.29,21.29,21.29,0,1,0,0,0,0,0,0,0,0,0,0,0
00006,1930,1930-01-09,3,21.62,21.62,21.62,21.62,21.62,0,1,0,0,0,0,0,0,0,0,0,0,0
00007,1930,1930-01-10,4,21.55,21.55,21.55,21.55,21.55,0,1,0,0,0,0,0,0,0,0,0,0,0
00008,1930,1930-01-13,0,21.52,21.52,21.52,21.52,21.52,0,1,0,0,0,0,0,0,0,0,0,0,0
00009,1930,1930-01-14,1,21.56,21.56,21.56,21.56,21.56,0,1,0,0,0,0,0,0,0,0,0,0,0
00010,1930,1930-01-15,2,21.65,21.65,21.65,21.65,21.65,0,1,0,0,0,0,0,0,0,0,0,0,0
00011,1930,1930-01-16,3,21.5,21.5,21.5,21.5,21.5,0,1,0,0,0,0,0,0,0,0,0,0,0
00012,1930,1930-01-17,4,21.31,21.31,21.31,21.31,21.31,0,1,0,0,0,0,0,0,0,0,0,0,0
00013,1930,1930-01-20,0,21.5,21.5,21.5,21.5,21.5,0,1,0,0,0,0,0,0,0,0,0,0,0
00014,1930,1930-01-21,1,21.61,21.61,21.61,21.61,21.61,0,1,0,0,0,0,0,0,0,0,0,0,0
00015,1930,1930-01-22,2,21.63,21.63,21.63,21.63,21.63,0,1,0,0,0,0,0,0,0,0,0,0,0
00016,1930,1930-01-23,3,21.84,21.84,21.84,21.84,21.84,0,1,0,0,0,0,0,0,0,0,0,0,0
00017,1930,1930-01-24,4,22.04,22.04,22.04,22.04,22.04,0,1,0,0,0,0,0,0,0,0,0,0,0
00018,1930,1930-01-27,0,22.21,22.21,22.21,22.21,22.21,0,1,0,0,0,0,0,0,0,0,0,0,0
00019,1930,1930-01-28,1,22.1,22.1,22.1,22.1,22.1,0,1,0,0,0,0,0,0,0,0,0,0,0
00020,1930,1930-01-29,2,22.35,22.35,22.35,22.35,22.35,0,1,0,0,0,0,0,0,0,0,0,0,0
00021,1930,1930-01-30,3,22.47,22.47,22.47,22.47,22.47,0,1,0,0,0,0,0,0,0,0,0,0,0
